Country ISO3,Country Name,Postcode,Zone Name,CRESTA Scheme,CRESTA ID,Zone Name
AUS,Australia,2173,Wattle Grove,LowRes,Australia CR41,Sydney South
AUS,Australia,2174,Edmondson Park,LowRes,Australia CR41,Sydney South
AUS,Australia,2175,Horsley Park,LowRes,Australia CR42,Sydney West
AUS,Australia,2176,St Johns Park,LowRes,Australia CR41,Sydney South
AUS,Australia,2177,Bonnyrigg Heights,LowRes,Australia CR41,Sydney South
AUS,Australia,2178,Mount Vernon,LowRes,Australia CR42,Sydney West
AUS,Australia,2179,Leppington,LowRes,Australia CR42,Sydney West
AUS,Australia,2190,Greenacre,LowRes,Australia CR41,Sydney South
AUS,Australia,2191,Belfield,LowRes,Australia CR41,Sydney South
AUS,Australia,2192,Belmore,LowRes,Australia CR41,Sydney South
AUS,Australia,2193,Ashbury,LowRes,Australia CR41,Sydney South
AUS,Australia,2194,Campsie,LowRes,Australia CR41,Sydney South
AUS,Australia,2195,Wiley Park,LowRes,Australia CR41,Sydney South
AUS,Australia,2196,Roselands,LowRes,Australia CR41,Sydney South
AUS,Australia,2197,Bass Hill,LowRes,Australia CR41,Sydney South
AUS,Australia,2198,Georges Hall,LowRes,Australia CR41,Sydney South
AUS,Australia,2199,Yagoona,LowRes,Australia CR41,Sydney South
AUS,Australia,2200,Bankstown,LowRes,Australia CR41,Sydney South
AUS,Australia,2203,Dulwich Hill,LowRes,Australia CR41,Sydney South
AUS,Australia,2204,Marrickville,LowRes,Australia CR41,Sydney South
AUS,Australia,2205,Turrella,LowRes,Australia CR41,Sydney South
AUS,Australia,2206,Clemton Park,LowRes,Australia CR41,Sydney South
AUS,Australia,2207,Bardwell Park,LowRes,Australia CR41,Sydney South
AUS,Australia,2208,Kingsgrove,LowRes,Australia CR41,Sydney South
AUS,Australia,2209,Beverly Hills,LowRes,Australia CR41,Sydney South
AUS,Australia,2210,Peakhurst,LowRes,Australia CR41,Sydney South
AUS,Australia,2211,Padstow,LowRes,Australia CR41,Sydney South
AUS,Australia,2212,Revesby Heights,LowRes,Australia CR41,Sydney South
AUS,Australia,2213,Panania,LowRes,Australia CR41,Sydney South
AUS,Australia,2214,Milperra,LowRes,Australia CR41,Sydney South
AUS,Australia,2216,Banksia,LowRes,Australia CR41,Sydney South
AUS,Australia,2217,Beverley Park,LowRes,Australia CR41,Sydney South
AUS,Australia,2218,Allawah,LowRes,Australia CR41,Sydney South
AUS,Australia,2219,Sandringham,LowRes,Australia CR41,Sydney South
AUS,Australia,2220,Hurstville,LowRes,Australia CR41,Sydney South
AUS,Australia,2221,South Hurstville,LowRes,Australia CR41,Sydney South
AUS,Australia,2222,Penshurst,LowRes,Australia CR41,Sydney South
AUS,Australia,2223,Oatley,LowRes,Australia CR41,Sydney South
AUS,Australia,2224,Sylvania,LowRes,Australia CR41,Sydney South
AUS,Australia,2225,Oyster Bay,LowRes,Australia CR41,Sydney South
AUS,Australia,2226,Bonnet Bay,LowRes,Australia CR41,Sydney South
AUS,Australia,2227,Gymea,LowRes,Australia CR41,Sydney South
AUS,Australia,2228,Yowie Bay,LowRes,Australia CR41,Sydney South
AUS,Australia,2229,Taren Point,LowRes,Australia CR41,Sydney South
AUS,Australia,2230,Bundeena,LowRes,Australia CR41,Sydney South
AUS,Australia,2231,Kurnell,LowRes,Australia CR41,Sydney South
AUS,Australia,2232,Royal National Park,LowRes,Australia CR41,Sydney South
AUS,Australia,2233,Engadine,LowRes,Australia CR41,Sydney South
AUS,Australia,2234,Alfords Point,LowRes,Australia CR41,Sydney South
AUS,Australia,2250,Kariong,LowRes,Australia CR44,Central Coast NSW
AUS,Australia,2251,Yattalunga,LowRes,Australia CR44,Central Coast NSW
AUS,Australia,2256,Patonga,LowRes,Australia CR44,Central Coast NSW
AUS,Australia,2257,Umina Beach,LowRes,Australia CR44,Central Coast NSW
AUS,Australia,2258,Fountaindale,LowRes,Australia CR44,Central Coast NSW
AUS,Australia,2259,Hamlyn Terrace,LowRes,Australia CR44,Central Coast NSW
AUS,Australia,2260,North Avoca,LowRes,Australia CR44,Central Coast NSW
AUS,Australia,2261,The Entrance,LowRes,Australia CR44,Central Coast NSW
AUS,Australia,2262,Budgewoi,LowRes,Australia CR44,Central Coast NSW
AUS,Australia,2263,Norah Head,LowRes,Australia CR44,Central Coast NSW
AUS,Australia,2264,Morisset,LowRes,Australia CR46,Newcastle
AUS,Australia,2265,Martinsville,LowRes,Australia CR46,Newcastle
AUS,Australia,2267,Wangi Wangi,LowRes,Australia CR46,Newcastle
AUS,Australia,2278,Killingworth,LowRes,Australia CR46,Newcastle
AUS,Australia,2280,Belmont,LowRes,Australia CR46,Newcastle
AUS,Australia,2281,Nords Wharf,LowRes,Australia CR46,Newcastle
AUS,Australia,2282,Warners Bay,LowRes,Australia CR46,Newcastle
AUS,Australia,2283,Awaba,LowRes,Australia CR46,Newcastle
AUS,Australia,2284,Argenton,LowRes,Australia CR46,Newcastle
AUS,Australia,2285,Cameron Park,LowRes,Australia CR46,Newcastle
AUS,Australia,2286,Seahampton,LowRes,Australia CR46,Newcastle
AUS,Australia,2287,Minmi,LowRes,Australia CR46,Newcastle
AUS,Australia,2289,Adamstown,LowRes,Australia CR46,Newcastle
AUS,Australia,2290,Charlestown,LowRes,Australia CR46,Newcastle
AUS,Australia,2291,The Junction,LowRes,Australia CR46,Newcastle
AUS,Australia,2292,Broadmeadow,LowRes,Australia CR46,Newcastle
AUS,Australia,2293,Wickham,LowRes,Australia CR46,Newcastle
AUS,Australia,2294,Carrington,LowRes,Australia CR46,Newcastle
AUS,Australia,2295,Stockton,LowRes,Australia CR46,Newcastle
AUS,Australia,2296,Islington,LowRes,Australia CR46,Newcastle
AUS,Australia,2297,Tighes Hill,LowRes,Australia CR46,Newcastle
AUS,Australia,2298,Waratah West,LowRes,Australia CR46,Newcastle
AUS,Australia,2299,North Lambton,LowRes,Australia CR46,Newcastle
AUS,Australia,2300,Bar Beach,LowRes,Australia CR46,Newcastle
