id,postcode,locality,state,long,lat
20064,1223,NOONAMAH,NT,131.094044,-12.64187171
349,1224,BERRY SPRINGS,NT,131.0067348,-12.71878122
20065,1225,COOLALINGA,NT,131.0402017,-12.52001124
350,1226,DUNDEE BEACH,NT,130.3529386,-12.72451307
351,1227,DUNDEE DOWNS,NT,130.5109414,-12.76554875
352,1228,DUNDEE FOREST,NT,130.4518371,-12.71366907
353,1229,DARWIN RIVER,NT,130.969862,-12.81922863
354,1230,BATCHELOR,NT,131.038475,-13.045118
355,1231,ADELAIDE RIVER,NT,131.095002,-13.210299
356,1232,PINE CREEK,NT,131.759154,-14.012122
20066,1233,COSSACK,NT,132.1721041,-14.46369137
20067,1234,EMUNGALAN,NT,132.2418315,-14.4161067
357,1235,KATHERINE,NT,132.365352,-14.195911
20068,1236,KATHERINE EAST,NT,132.2874375,-14.46576308
20069,1237,KATHERINE SOUTH,NT,132.2598385,-14.48180579
20070,1238,LANSDOWNE,NT,132.3888705,-14.43162875
358,1239,KATHERINE,NT,137.050719,-15.711424
20071,1240,ARNOLD,NT,130.8418661,-16.4525888
20072,1291,BAINES,NT,130.8418661,-16.4525888
20073,1292,BARUNGA,NT,130.8418661,-16.4525888
360,1293,BESWICK,NT,130.8418661,-16.4525888
20074,1294,BESWICK CREEK,NT,130.8418661,-16.4525888
20075,1295,BINJARI,NT,130.8418661,-16.4525888
20076,1296,BIRDUM,NT,130.8418661,-16.4525888
20077,1297,BRADSHAW,NT,130.8418661,-16.4525888
20078,1298,BUCHANAN,NT,130.8418661,-16.4525888
20079,1299,BULMAN WEEMOL,NT,130.8418661,-16.4525888
20080,1300,CRESWELL,NT,130.8418661,-16.4525888
20081,1314,DAGURAGU,NT,130.8418661,-16.4525888
361,1335,DALY WATERS,NT,130.8418661,-16.4525888
20082,1340,DELAMERE,NT,130.8418661,-16.4525888
362,1350,DUNMARRA,NT,130.8418661,-16.4525888
20083,1355,EDITH,NT,130.8418661,-16.4525888
363,1360,EDITH RIVER,NT,130.8418661,-16.4525888
20084,1401,ELSEY,NT,130.8418661,-16.4525888
364,1405,ELSEY STATION,NT,130.8418661,-16.4525888
20085,1419,FLORINA,NT,130.8418661,-16.4525888
20086,1420,FLYING FOX,NT,130.8418661,-16.4525888
20087,1422,GREGORY,NT,130.8418661,-16.4525888
20088,1423,GULUNG MARDRULK,NT,130.8418661,-16.4525888
20089,1424,GURINDJI,NT,130.8418661,-16.4525888
22843,1425,HELEN SPRINGS STATION,NT,130.8418661,-16.4525888
20090,1426,JILKMINGGAN,NT,130.8418661,-16.4525888
20091,1427,KALKARINDJI,NT,130.8418661,-16.4525888
365,1428,KALKARINGI,NT,130.8418661,-16.4525888
366,1429,KATHERINE,NT,130.8418661,-16.4525888
367,1430,LAJAMANU,NT,130.8418661,-16.4525888
368,1435,LARRIMAH,NT,130.8418661,-16.4525888
20092,1440,LIMMEN,NT,130.8418661,-16.4525888
369,1441,MANBULLOO,NT,130.8418661,-16.4525888
20093,1445,MARANBOY,NT,130.8418661,-16.4525888
