Country Name,Cresta Id,Zone Code,Zone Name
Australia,Australia CR47,2329,Northern Slopes
Australia,Australia CR47,2330,Northern Slopes
Australia,Australia CR47,2333,Northern Slopes
Australia,Australia CR46,2334,Newcastle
Australia,Australia CR47,2335,Northern Slopes
Australia,Australia CR47,2336,Northern Slopes
Australia,Australia CR47,2337,Northern Slopes
Australia,Australia CR47,2338,Northern Slopes
Australia,Australia CR47,2339,Northern Slopes
Australia,Australia CR47,2340,Northern Slopes
Australia,Australia CR47,2341,Northern Slopes
Australia,Australia CR47,2342,Northern Slopes
Australia,Australia CR47,2343,Northern Slopes
Australia,Australia CR47,2344,Northern Slopes
Australia,Australia CR47,2345,Northern Slopes
Australia,Australia CR47,2346,Northern Slopes
Australia,Australia CR47,2347,Northern Slopes
Australia,Australia CR48,2350,Mid-North coast
Australia,Australia CR47,2352,Northern Slopes
Australia,Australia CR47,2353,Northern Slopes
Australia,Australia CR48,2354,Mid-North coast
Australia,Australia CR47,2355,Northern Slopes
Australia,Australia CR47,2356,Northern Slopes
Australia,Australia CR47,2357,Northern Slopes
Australia,Australia CR47,2358,Northern Slopes
Australia,Australia CR47,2359,Northern Slopes
Australia,Australia CR47,2360,Northern Slopes
Australia,Australia CR47,2361,Northern Slopes
Australia,Australia CR48,2365,Mid-North coast
Australia,Australia CR47,2369,Northern Slopes
Australia,Australia CR49,2370,Far North coast
Australia,Australia CR47,2371,Northern Slopes
Australia,Australia CR47,2372,Northern Slopes
Australia,Australia CR47,2379,Northern Slopes
Australia,Australia CR47,2380,Northern Slopes
Australia,Australia CR47,2381,Northern Slopes
Australia,Australia CR47,2382,Northern Slopes
Australia,Australia CR47,2386,Northern Slopes
Australia,Australia CR47,2387,Northern Slopes
Australia,Australia CR47,2388,Northern Slopes
Australia,Australia CR47,2390,Northern Slopes
Australia,Australia CR47,2395,Northern Slopes
Australia,Australia CR47,2396,Northern Slopes
Australia,Australia CR47,2397,Northern Slopes
Australia,Australia CR47,2398,Northern Slopes
Australia,Australia CR47,2399,Northern Slopes
Australia,Australia CR47,2400,Northern Slopes
Australia,Australia CR47,2401,Northern Slopes
Australia,Australia CR47,2402,Northern Slopes
Australia,Australia CR47,2403,Northern Slopes
Australia,Australia CR47,2404,Northern Slopes
Australia,Australia CR47,2405,Northern Slopes
Australia,Australia CR47,2406,Northern Slopes
Australia,Australia CR47,2408,Northern Slopes
Australia,Australia CR47,2409,Northern Slopes
Australia,Australia CR47,2410,Northern Slopes
Australia,Australia CR47,2411,Northern Slopes
Australia,Australia CR48,2415,Mid-North coast
Australia,Australia CR47,2420,Northern Slopes
Australia,Australia CR47,2421,Northern Slopes
Australia,Australia CR48,2422,Mid-North coast
Australia,Australia CR48,2423,Mid-North coast
Australia,Australia CR48,2424,Mid-North coast
Australia,Australia CR48,2425,Mid-North coast
Australia,Australia CR48,2426,Mid-North coast
Australia,Australia CR48,2427,Mid-North coast
Australia,Australia CR48,2428,Mid-North coast
Australia,Australia CR48,2429,Mid-North coast
Australia,Australia CR48,2430,Mid-North coast
